Advertising Networks	Anonymous Payment Systems	Attitudes Towards Spamming	Children's Privacy	Content Providers have Right to Resell User Information	Direct Marketing	Information about Users Improves Marketing of Site	Internet Privacy Laws	Key Escrow Encryption	Knowledge of Information Logged per Page Request_Don't Know	Knowledge of Information Logged per Page Request_Email Address	Knowledge of Information Logged per Page Request_Location	Knowledge of Information Logged per Page Request_Machine	Knowledge of Information Logged per Page Request_OS	Knowledge of Information Logged per Page Request_Requested Page	Knowledge of Information Logged per Page Request_Screen Size	Knowledge of Information Logged per Page Request_Session ID	Knowledge of Information Logged per Page Request_Time of Request	Knowledge of Information Logged per Page Request_Which Browser	Mass Emailings	Ought to be able to Assume Different Aliases/Roles on the Internet	Policies Towards Spamming	Privacy of Communications	Reasons for Not Registering_Always Register	Reasons for Not Registering_Don't Trust	Reasons for Not Registering_Not Worth Risk	Reasons for Not Registering_Other	Reasons for Not Registering_Requires Address	Reasons for Not Registering_Requires Email	Reasons for Not Registering_Requires Name 	Reasons for Not Registering_Terms	Reasons for Not Registering_Time	Terms and Conditions for Revealing Demographic Information_Aggregated Only	Terms and Conditions for Revealing Demographic Information_Discount at Site's Store	Terms and Conditions for Revealing Demographic Information_How it will be Used	Terms and Conditions for Revealing Demographic Information_In Exchange for Access to Site	Terms and Conditions for Revealing Demographic Information_Other	Terms and Conditions for Revealing Demographic Information_Some Value Added Service	Terms and Conditions for Revealing Demographic Information_What's Being Collected	Terms and Conditions for Revealing Demographic Information_Would Not Give	Use of Demographic Information in Other Mediums	Users Ought to Have Complete Control of Demographic Info	Value Anonymous Nature of Internet	What Information Ought to be Collected per Page Request_Don't Know	What Information Ought to be Collected per Page Request_Email Address	What Information Ought to be Collected per Page Request_Location	What Information Ought to be Collected per Page Request_Machine	What Information Ought to be Collected per Page Request_None	What Information Ought to be Collected per Page Request_OS	What Information Ought to be Collected per Page Request_Requested Page	What Information Ought to be Collected per Page Request_Screen Size	What Information Ought to be Collected per Page Request_Session ID	What Information Ought to be Collected per Page Request_Time of Request	What Information Ought to be Collected per Page Request_Which Browser	da_source	who	
Neither Agree or Disagree	No Opinion	Delete	Disagree Somewhat	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	Agree Somewhat	Agree Somewhat	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	Agree Somewhat	Blacklist	Agree Strongly	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	Neither Agree or Disagree	No Opinion	Agree Strongly	1	0	1	0	0	0	0	0	0	0	0	Go!	id95341	
Disagree Strongly	Neither Agree or Disagree	Retaliate	Disagree Somewhat	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	Agree Strongly	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Government Controls	Agree Strongly	0	1	1	0	1	0	1	1	0	0	1	1	1	0	1	1	0	Disagree Strongly	Disagree Somewhat	Agree Strongly	0	0	0	1	0	0	1	0	0	1	0	Go!	id92327	
Disagree Strongly	Agree Strongly	Not App	No Opinion	Disagree Strongly	No Opinion	Disagree Strongly	Agree Somewhat	No Opinion	0	0	0	1	1	1	0	0	1	1	Disagree Somewhat	Agree Strongly	Blacklist	Agree Strongly	0	1	1	0	0	0	1	0	1	1	0	1	1	0	1	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id91875	
Disagree Somewhat	No Opinion	Not App	Agree Somewhat	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Strongly	Agree Somewhat	0	0	1	0	1	0	0	0	1	0	Neither Agree or Disagree	Neither Agree or Disagree	Registry	Agree Somewhat	0	0	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	0	0	0	0	0	1	0	0	0	0	Go!	id92275	
Neither Agree or Disagree	Disagree Strongly	Delete	Agree Strongly	Neither Agree or Disagree	Disagree Strongly	Agree Somewhat	Agree Strongly	Agree Somewhat	0	1	1	0	0	1	0	0	0	0	Disagree Strongly	Disagree Strongly	Impact Fee	Agree Strongly	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	1	0	0	0	1	0	0	0	0	Go!	id99739	
Disagree Strongly	Agree Strongly	Reply	Disagree Somewhat	Neither Agree or Disagree	Disagree Strongly	Agree Somewhat	Agree Somewhat	Neither Agree or Disagree	0	1	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Registry	Agree Strongly	0	1	1	1	0	0	0	1	0	1	0	1	1	1	0	1	0	Disagree Somewhat	Neither Agree or Disagree	Agree Somewhat	0	0	0	0	1	0	0	0	0	0	0	Go!	id93793	
Disagree Somewhat	Neither Agree or Disagree	Read	Agree Somewhat	Disagree Strongly	Neither Agree or Disagree	Neither Agree or Disagree	Disagree Strongly	Agree Strongly	0	0	0	1	1	1	0	0	1	1	Neither Agree or Disagree	Agree Somewhat	Registry	Agree Strongly	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Neither Agree or Disagree	0	0	0	1		1	1	1	0	1	1	Go!	id92663	
Disagree Somewhat	Agree Somewhat	Not App	Neither Agree or Disagree	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Agree Strongly	Neither Agree or Disagree	0	1	0	1	0	0	0	0	1	0	Disagree Strongly	Agree Somewhat	Other	Agree Strongly	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	Disagree Strongly	Agree Somewhat	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id97687	
Disagree Somewhat	Agree Somewhat	Other	Agree Somewhat	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Disagree Somewhat	Disagree Strongly	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Government Controls	Agree Strongly	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	1	0	Disagree Somewhat	Agree Somewhat	Agree Strongly	0	0	0	1	0	1	1	0	1	1	1	Go!	id51102	
Disagree Strongly	Agree Strongly	Reply	Agree Strongly	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	Disagree Strongly	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	No Opinion	Other	Agree Strongly	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	0	1		0	1	0	0	1	0	Go!	id93686	
Disagree Strongly	Neither Agree or Disagree	Reply	Agree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	Agree Strongly	Agree Somewhat	0	1	1	1	1	1	0	1	1	1	Disagree Somewhat	Agree Strongly	Other	Agree Strongly	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	Disagree Strongly	Disagree Somewhat	Agree Strongly	0	1	1	1	0	1	1	0	1	1	1	Go!	id99703	
Agree Somewhat	No Opinion	Delete	Disagree Somewhat	Disagree Somewhat	Neither Agree or Disagree	Agree Somewhat	Neither Agree or Disagree	Disagree Strongly	0	0	1	1	1	1	1	1	1	1	Disagree Strongly	Agree Somewhat	Impact Fee	No Opinion	0	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	Disagree Somewhat	No Opinion	Agree Strongly	0	0	0	1	0	1	1	1	0	1	1	Go!	id76630	
Disagree Strongly	Agree Strongly	Not App	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Disagree Somewhat	Agree Somewhat	Disagree Strongly	1	0	0	0	0	0	0	0	0	0	Neither Agree or Disagree	Agree Strongly	Blacklist	Agree Strongly	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id93799	
Disagree Somewhat	Neither Agree or Disagree	Read	Agree Strongly	Neither Agree or Disagree	Agree Somewhat	Agree Somewhat	Agree Somewhat	Neither Agree or Disagree	0	0	0	0	0	1	0	0	1	0	Disagree Somewhat	Neither Agree or Disagree	Registry	Agree Strongly	0	1	0	0	1	0	1	1	0	0	0	1	0	0	1	1	0	Neither Agree or Disagree	Neither Agree or Disagree	Agree Somewhat	0	0	0	0	0	0	1	0	0	1	0	Go!	id98066	
Disagree Somewhat	Agree Somewhat	Reply	Neither Agree or Disagree	Disagree Somewhat	Disagree Somewhat	Agree Somewhat	Neither Agree or Disagree	Disagree Somewhat	0	0	0	1	1	1	0	0	1	1	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Strongly	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	Disagree Strongly	Agree Somewhat	Agree Somewhat	0	0	0	1	0	1	1	0	0	1	1	Go!	id98103	
Disagree Somewhat	Neither Agree or Disagree	Delete	Neither Agree or Disagree	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Disagree Strongly	0	0	1	1	1	1	1	1	1	1	Disagree Strongly	Agree Somewhat	Government Controls	Agree Strongly	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	1	0	Disagree Strongly	Agree Somewhat	Agree Somewhat	0	0	1	1	0	1	1	1	1	1	1	Go!	id99937	
Disagree Strongly	No Opinion	Read	Disagree Strongly	Disagree Somewhat	Neither Agree or Disagree	Agree Somewhat	Disagree Strongly	Disagree Strongly	0	0	0	1	1	1	0	0	1	1	Disagree Somewhat	Agree Strongly	Nothing	Agree Strongly	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	Neither Agree or Disagree	Agree Strongly	Agree Strongly	0	0	0	1	0	1	1	0	1	1	1	Go!	id96364	
Agree Somewhat	Agree Somewhat	Retaliate	Agree Strongly	Disagree Strongly	Neither Agree or Disagree	Disagree Strongly	Agree Strongly	Disagree Somewhat	0	1	0	0	1	1	0	0	1	1	Disagree Strongly	Agree Somewhat	Nothing	Neither Agree or Disagree	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Disagree Strongly	No Opinion	Neither Agree or Disagree	0	0	0	0	1	0	0	0	0	0	0	Go!	id99654	
Disagree Somewhat	Neither Agree or Disagree	Read	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Agree Strongly	Neither Agree or Disagree	No Opinion	0	1	0	1	0	1	0	1	1	0	Neither Agree or Disagree	Agree Somewhat	Nothing	Agree Somewhat	0	1	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	Agree Somewhat	Neither Agree or Disagree	Agree Somewhat	0	1	0	1	0	0	1	0	1	1	0	Go!	id93409	
Disagree Somewhat	Neither Agree or Disagree	Delete	No Opinion	Disagree Somewhat	Disagree Strongly	Agree Strongly	Agree Somewhat	Agree Strongly	0	1	0	1	0	0	0	0	1	0	Disagree Strongly	Disagree Somewhat	Registry	Disagree Strongly	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	Disagree Somewhat	Agree Somewhat	Disagree Somewhat	0	1	0	0	0	0	0	0	0	0	0	Go!	id98018	
Disagree Strongly	Disagree Strongly	Not App	Disagree Strongly	Disagree Strongly	No Opinion	No Opinion	Agree Strongly	No Opinion	0	1	0	0	0	0	0	0	0	0	Disagree Strongly	Agree Strongly	Registry	Agree Strongly	0	1	0	0	1	0	0	1	1	0	1	1	1	0	1	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	0	0	0	0	1	0	0	1	0	Go!	id92258	
Disagree Strongly	Agree Somewhat	Not App	Disagree Somewhat	No Opinion	Disagree Strongly	Agree Somewhat	Disagree Somewhat	Neither Agree or Disagree	0	1	0	1	1	1	0	0	1	1	No Opinion	Agree Somewhat	Don't Know	Agree Somewhat	0	1	1	1	1	1	1	0	0	1	0	1	0	1	0	0	0	Disagree Strongly	Neither Agree or Disagree	Agree Strongly	0	1	0	1	0	1	1	0	0	1	0	Go!	id97694	
Disagree Strongly	Agree Somewhat	Not App	No Opinion	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Somewhat	Disagree Strongly	0	1	1	1	1	1	0	1	1	1	No Opinion	Neither Agree or Disagree	Other	Agree Strongly	0	1	1	0	1	0	0	1	0	1	0	1	0	0	0	1	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	0	1	0	Go!	id92014	
Disagree Strongly	Disagree Somewhat	Not App	Neither Agree or Disagree	Neither Agree or Disagree	Disagree Somewhat	Neither Agree or Disagree	Disagree Strongly	Disagree Somewhat	0	1	0	1	0	1	0	0	1	1	Disagree Somewhat	Disagree Somewhat	Don't Know	Agree Somewhat	0	1	1	0	1	1	1	1	1	0	0	1	0	0	0	1	0	Disagree Somewhat	Agree Strongly	Disagree Somewhat	1	0	0	0	0	0	0	0	0	0	0	Go!	id97873	
Disagree Strongly	Agree Somewhat	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Somewhat	Agree Somewhat	0	0	1	1	1	1	0	1	1	1	Disagree Strongly	Neither Agree or Disagree	Blacklist	Agree Strongly	0	0	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	0	0	1	1	0	0	1	0	0	1	0	Go!	id92524	
Disagree Strongly	Agree Somewhat	Delete	Agree Somewhat	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	Disagree Strongly	0	0	0	1	1	1	1	0	1	1	Disagree Strongly	Agree Somewhat	Blacklist	Agree Strongly	0	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	1	0	1	1	1	0	1	1	Go!	id47171	
Neither Agree or Disagree	Neither Agree or Disagree	Retaliate	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	Agree Strongly	Disagree Strongly	0	0	1	1	0	1	0	1	1	0	Disagree Strongly	Agree Somewhat	Government Controls	Agree Strongly	0	1	1	0	0	0	0	1	0	1	0	1	1	0	0	1	0	Disagree Strongly	Agree Somewhat	Agree Strongly	0	0	1	1	0	1	1	1	1	1	1	Go!	id94581	
Disagree Somewhat	Agree Strongly	Other	Disagree Somewhat	No Opinion	Disagree Somewhat	Agree Strongly	Agree Strongly	Disagree Strongly	0	1	1	1	1	1	1	1	1	1	Disagree Strongly	Agree Strongly	Government Controls	Agree Strongly	0	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	0	Agree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0		0	0	1	0	1	0	Go!	id48470	
Disagree Strongly	Neither Agree or Disagree	Other	Agree Somewhat	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	Agree Strongly	Disagree Strongly	0	1	1	1	1	1	1	1	1	1	Agree Somewhat	Agree Somewhat	Other	Agree Strongly	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	1	1	1	0	1	1	Go!	id93099	
Disagree Strongly	No Opinion	Delete	Agree Strongly	Agree Somewhat	Disagree Strongly	Agree Strongly	Disagree Strongly	Agree Strongly	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Registry	Agree Strongly	0	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	Disagree Somewhat	Agree Somewhat	Agree Strongly	0	0	0	1	0	0	1	0	0	1	1	Go!	id97877	
Disagree Somewhat	Neither Agree or Disagree	Delete	Agree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Disagree Somewhat	Agree Somewhat	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Strongly	0	1	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	1	0	1	0	0	1	0	0	1	0	Go!	id97729	
Neither Agree or Disagree	Agree Somewhat	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Strongly	Agree Strongly	0	0	1	1	1	1	0	0	1	0	Disagree Strongly	Agree Somewhat	Registry	Agree Strongly	0	0	1	0	1	1	1	0	1	0	0	0	0	1	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	1	0	0	1	0	0	1	1	Go!	id5286	
Disagree Somewhat	Agree Somewhat	Read	Neither Agree or Disagree	Neither Agree or Disagree	Neither Agree or Disagree	Agree Somewhat	Agree Somewhat	Neither Agree or Disagree	0	0	0	1	0	1	0	1	1	0	Disagree Somewhat	Agree Somewhat	Registry	Agree Strongly	0	0	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	Neither Agree or Disagree	Agree Strongly	Agree Strongly	0	0	0	1	0	0	1	0	1	1	0	Go!	id93036	
Neither Agree or Disagree	Agree Somewhat	Delete	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Somewhat	Disagree Somewhat	Disagree Somewhat	0	0	0	0	1	1	0	0	1	1	Neither Agree or Disagree	Agree Somewhat	Blacklist	Agree Strongly	0	0	1	0	1	0	0	0	1	0	1	1	1	1	0	1	0	Neither Agree or Disagree	Agree Strongly	Agree Somewhat	0	0	0	0	0	1	1	0	0	1	1	Go!	id91077	
Disagree Strongly	Disagree Somewhat	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Strongly	Disagree Somewhat	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	Neither Agree or Disagree	Impact Fee	Agree Strongly	0	1	1	0	1	1	1	1	0	1	0	1	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	0	1	0	Go!	id91858	
Disagree Somewhat	Agree Somewhat	Reply	Disagree Strongly	Disagree Strongly	Agree Somewhat	Disagree Somewhat	Disagree Somewhat	Disagree Strongly	0	1	0	1	0	1	0	0	1	0	Disagree Strongly	Agree Strongly	Registry	Agree Somewhat	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	Disagree Somewhat	Agree Strongly	Agree Strongly	0	1	0	0	0	0	0	1	0	0	0	Go!	id96073	
Disagree Somewhat	No Opinion	Delete	No Opinion	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	No Opinion	0	1	1	1	1	1	0	1	1	1	Disagree Strongly	No Opinion	Impact Fee	Agree Strongly	0	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	Disagree Strongly	Agree Somewhat	Agree Strongly	0	1	0	0	0	1	1	0	0	1	1	Go!	id96775	
Neither Agree or Disagree	Neither Agree or Disagree	Delete	Agree Somewhat	Disagree Strongly	Neither Agree or Disagree	Agree Strongly	Agree Somewhat	Disagree Strongly	0	0	1	1	1	1	1	1	1	1	Disagree Somewhat	Disagree Somewhat	Impact Fee	Agree Strongly	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	Disagree Somewhat	Neither Agree or Disagree	Agree Somewhat	0	0	1	1		1	1	1	1	1	1	Go!	id59575	
Agree Somewhat	Neither Agree or Disagree	Not App	Agree Somewhat	Disagree Somewhat	Neither Agree or Disagree	Agree Somewhat	Neither Agree or Disagree	Agree Somewhat	0	1	0	1	0	1	0	1	1	1	Neither Agree or Disagree	Agree Somewhat	Impact Fee	Agree Strongly	0	0	1	0	1	0	1	1	0	1	0	1	0	0	1	1	0	Disagree Somewhat	Agree Somewhat	Agree Strongly	0	0	1	0	0	0	1	0	1	1	1	Go!	id95151	
Neither Agree or Disagree	No Opinion	Reply	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Disagree Somewhat	0	1	1	0	0	1	0	0	1	0	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Strongly	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	Disagree Strongly	Neither Agree or Disagree	Agree Strongly	0	0	0	1	0	0	1	0	0	1	0	Go!	id99768	
Neither Agree or Disagree	Agree Somewhat	Delete	Agree Strongly	Disagree Somewhat	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	Disagree Somewhat	0	1	0	1	0	1	0	0	0	1	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Somewhat	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	1	0	Disagree Somewhat	Neither Agree or Disagree	Agree Somewhat	0	0	0	0	1	0	0	0	0	0	0	Go!	id93345	
No Opinion	No Opinion	Delete	Agree Strongly	Disagree Somewhat	Disagree Strongly	Agree Somewhat	Agree Strongly	No Opinion	0	0	0	1	0	1	0	0	1	1	Disagree Strongly	No Opinion	Registry	Agree Strongly	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Disagree Somewhat	Agree Somewhat	Agree Somewhat	0	0	0	0	0	0	1	0	0	1	0	Go!	id97393	
Disagree Strongly	Agree Somewhat	Not App	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	Agree Strongly	Agree Strongly	0	1	1	0	1	1	0	1	1	1	Neither Agree or Disagree	No Opinion	Registry	Agree Somewhat	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Disagree Strongly	Neither Agree or Disagree	Disagree Somewhat	0	1	0	0	0	1	1	0	0	1	1	Go!	id98140	
No Opinion	No Opinion	Not App	Neither Agree or Disagree	Disagree Strongly	No Opinion	No Opinion	Agree Strongly	No Opinion	1	0	0	0	0	0	0	0	0	0	No Opinion	No Opinion	Registry	Agree Strongly	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	Neither Agree or Disagree	Agree Strongly	Agree Strongly	1	0	0	0	0	0	0	0	0	0	0	Go!	id95825	
Neither Agree or Disagree	No Opinion	Delete	Agree Somewhat	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Neither Agree or Disagree	0	0	0	1	0	1	0	0	1	1	Disagree Strongly	No Opinion	Registry	Agree Strongly	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	0	0	0	1	0	0	1	0	0	1	1	Go!	id92921	
Neither Agree or Disagree	Agree Somewhat	Delete	Disagree Somewhat	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Agree Somewhat	Disagree Strongly	0	1	1	1	1	1	0	1	1	1	Neither Agree or Disagree	Agree Strongly	Impact Fee	Agree Strongly	0	1	1	0	0	0	0	1	1	1	0	1	1	0	1	1	0	Agree Somewhat	Agree Strongly	Agree Somewhat	0	0	1	1	0	1	1	0	0	1	1	Go!	id93718	
Disagree Somewhat	Neither Agree or Disagree	Reply	Disagree Strongly	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Strongly	Neither Agree or Disagree	0	0	0	1	1	1	0	1	1	0	Disagree Strongly	Neither Agree or Disagree	Other	Agree Somewhat	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	0	0	0	0	0	1	0	0	1	0	Go!	id94165	
Disagree Strongly	Agree Somewhat	Reply	Agree Strongly	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	No Opinion	0	1	0	1	0	1	0	0	1	0	Disagree Strongly	Agree Somewhat	Registry	Agree Somewhat	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	0	0	0	1	0	0	0	0	0	0	Go!	id33549	
Disagree Strongly	Neither Agree or Disagree	Delete	No Opinion	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	Neither Agree or Disagree	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	Agree Somewhat	Don't Know	Agree Strongly	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id99291	
Disagree Strongly	Agree Strongly	Delete	Disagree Strongly	Disagree Somewhat	Disagree Strongly	Agree Strongly	Agree Strongly	Disagree Strongly	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Impact Fee	Agree Somewhat	0	1	1	0	0	1	0	1	1	1	1	1	0	0	1	1	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	0	1	1	0	1	1	1	1	1	1	Go!	id93499	
Disagree Strongly	Agree Strongly	Delete	Disagree Somewhat	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Strongly	Disagree Strongly	0	1	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Impact Fee	Neither Agree or Disagree	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	0	1	1	Go!	id97141	
Disagree Strongly	No Opinion	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	No Opinion	0	0	1	1	0	1	0	1	1	0	Disagree Strongly	Neither Agree or Disagree	Impact Fee	Agree Strongly	0	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	Disagree Somewhat	Agree Somewhat	Agree Strongly	0	0	0	1	0	0	1	0	0	1	0	Go!	id93139	
Neither Agree or Disagree	Agree Somewhat	Delete	Agree Somewhat	Disagree Somewhat	Disagree Somewhat	Neither Agree or Disagree	Agree Somewhat	No Opinion	0	1	0	1	0	1	0	1	1	0	Disagree Strongly	No Opinion	Don't Know	Agree Somewhat	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	0	0	0	0	0	0	1	0	0	1	0	Go!	id97059	
Disagree Strongly	Agree Strongly	Delete	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Disagree Strongly	Agree Strongly	Agree Somewhat	0	1	0	0	0	1	0	0	1	0	Disagree Somewhat	Agree Somewhat	Registry	Agree Strongly	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	0	1	0	Go!	id99717	
Disagree Strongly	Agree Strongly	Not App	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Somewhat	Agree Somewhat	0	1	1	1	1	1	0	0	1	0	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Strongly	0	1	0	0	1	1	1	1	0	1	0	1	0	1	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	1	0	0	1	1	0	0	0	0	Go!	id97833	
Agree Somewhat	Agree Strongly	Not App	Disagree Strongly	Disagree Somewhat	Neither Agree or Disagree	Neither Agree or Disagree	Agree Somewhat	No Opinion	0	0	1	0	0	0	0	1	0	0	Disagree Strongly	Agree Somewhat	Registry	Agree Strongly	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	1	Disagree Somewhat	Disagree Strongly	Neither Agree or Disagree	0	0	1	1	0	1	0	0	0	0	0	Go!	id93180	
Disagree Somewhat	Agree Somewhat	Delete	Agree Strongly	Neither Agree or Disagree	Disagree Somewhat	Agree Somewhat	Agree Strongly	Agree Strongly	0	0	0	1	0	0	0	0	0	0	Disagree Strongly	Agree Somewhat	Registry	Agree Strongly	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	Agree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	1	0	0	Go!	id90602	
Disagree Strongly	Agree Somewhat	Not App	Disagree Somewhat	Disagree Somewhat	Disagree Strongly	Agree Somewhat	Agree Strongly	Agree Strongly	0	1	1	1	0	1	0	0	0	0	Disagree Strongly	Disagree Somewhat	Registry	Agree Strongly	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	Disagree Strongly	Agree Somewhat	Agree Somewhat	0	1	1	0	0	0	1	0	0	1	0	Go!	id96192	
